parent,child,lambda_val,child_size
2930,2931,0.07169086853034255,50
2930,2932,0.07169086853034255,2880
2931,210,9.035348238750526,1
2932,2933,0.09117991009134921,22
2932,2934,0.09117991009134921,2858
2931,2703,10.557927240031148,1
2933,2935,7.077510801743595,6
2933,2936,7.077510801743595,16
2934,2937,0.12329533998695097,146
2934,2938,0.12329533998695097,2712
2931,1505,11.71456024812442,1
2935,1367,9.61718419883447,1
2936,1545,33.73542636105661,1
2937,2939,0.13855959327255774,100
2937,2940,0.13855959327255774,46
2938,2941,0.1235957405833122,63
2938,2942,0.1235957405833122,2649
2931,2943,16.242796391028545,10
2931,2944,16.242796391028545,37
2935,2665,9.61718419883447,1
2935,2820,9.61718419883447,1
2935,1339,9.61718419883447,1
2935,2697,9.61718419883447,1
2935,2819,9.61718419883447,1
2936,194,51.12717723695614,1
2939,2945,0.16968406403262287,24
2939,2946,0.16968406403262287,76
2940,2947,0.8443728822187632,10
2940,2948,0.8443728822187632,36
2941,2949,0.3624389062288137,22
2941,2950,0.3624389062288137,41
2942,2951,0.12448296662828731,43
2942,2952,0.12448296662828731,2606
2943,2916,17.516003720354718,1
2944,658,16.242796391028545,1
2936,691,76.23281533426007,1
2945,792,3.00542674329271,1
2946,2953,0.7743156565546294,20
2946,2954,0.7743156565546294,56
2947,2603,14.453898283550421,1
2948,2650,9.464489129294098,1
2949,643,5.879670021240087,1
2950,2955,4.3066252575855275,29
2950,2956,4.3066252575855275,12
2951,2957,1.020895809381338,7
2951,2958,1.020895809381338,36
2952,2959,0.12789006694697963,31
2952,2960,0.12789006694697963,2575
2943,2692,19.383391922306117,1
2944,767,19.471647654518833,1
2936,1333,87.84688270162958,1
2945,1222,3.084162660178847,1
2953,26,6.394860192041139,1
2954,2961,1.143429621559859,10
2954,2962,1.143429621559859,46
2947,1557,37.44290404706754,1
2948,654,9.792932557447926,1
2949,1279,15.77757456416542,1
2955,2963,10.539571149363889,14
2955,2964,10.539571149363889,15
2956,2550,4.365811163290151,1
2957,1666,32.327700379577394,1
2958,2965,1.126470721479213,6
2958,2966,1.126470721479213,30
2959,1551,4.663866071151541,1
2960,2967,0.12836658323392722,30
2960,2968,0.12836658323392722,2545
2943,1951,20.233834857209406,1
2944,695,20.482129080983224,1
2936,797,95.91279821394028,1
2945,2599,3.3757856785730302,1
2953,1918,9.87790829535019,1
2961,2142,26.89665704150577,1
2962,304,3.342480511119487,1
2947,2625,53.460277265176714,1
2948,2655,16.243075606999795,1
2949,1959,17.62175773131224,1
2963,619,10.539571149363889,1
2964,2493,15.01122281650804,1
2956,790,4.642524121536214,1
2957,1874,43.41121729642112,1
2965,1507,20.19077987687427,1
2966,889,4.980404819174462,1
2959,2055,5.877968933312845,1
2967,2969,3.291905238129271,12
2967,2970,3.291905238129271,18
2968,2971,0.12919176005606814,88
2968,2972,0.12919176005606814,2457
2943,1987,21.74177573372894,1
2944,2028,21.20784307076008,1
2936,1599,123.19643512902368,1
2945,175,3.7456361897174877,1
2953,1381,11.788075269226303,1
2961,1820,30.20454328846898,1
2962,1492,3.552186774983383,1
2947,1553,53.90511011768866,1
2948,1982,19.23612135929997,1
2949,1379,26.853250243794015,1
2963,1926,24.93228022945972,1
2964,1925,18.223787068969607,1
2956,922,5.027306431070627,1
2956,2701,5.027306431070627,1
2956,681,5.027306431070627,1
2957,1389,52.846430787269156,1
2957,1218,52.846430787269156,1
2957,1380,52.846430787269156,1
2957,1963,52.846430787269156,1
2957,1215,52.846430787269156,1
2965,2170,20.19077987687427,1
2965,326,20.19077987687427,1
2965,1596,20.19077987687427,1
2965,2286,20.19077987687427,1
2965,979,20.19077987687427,1
2966,162,5.697664662060596,1
2959,860,7.374187082898174,1
2969,680,97.57512517052933,1
2970,649,5.626679233787026,1
2971,2973,0.8561284153746309,27
2971,2974,0.8561284153746309,61
2972,2975,0.1426579762253427,1093
2972,2976,0.1426579762253427,1364
2943,2038,23.19972830129219,1
2944,1485,23.532092575217565,1
2936,2643,149.54812733177656,1
2945,2076,3.9069447382164277,1
2953,1822,16.596720743175812,1
2961,198,33.20615591105463,1
2962,2037,4.522010206598808,1
2947,1321,75.16165474839585,1
2948,130,20.279141202832484,1
2949,1343,40.31831476683809,1
2963,2569,28.821430613214996,1
2964,2494,19.44992671293417,1
2956,1388,5.027306431070627,1
2966,783,5.800894192981798,1
2959,1971,7.679885133741605,1
2969,611,102.72880495633085,1
2970,1913,25.40197435715447,1
2973,329,14.248714535831095,1
2974,2977,0.856212539674126,17
2974,2978,0.856212539674126,44
2975,2979,0.4226777737823992,88
2975,2980,0.4226777737823992,1005
2976,2981,0.18509014751744707,55
2976,2982,0.18509014751744707,1309
2943,2244,23.19972830129219,1
2943,1332,23.19972830129219,1
2943,647,23.19972830129219,1
2943,1298,23.19972830129219,1
2943,1331,23.19972830129219,1
2944,1255,29.79510837127983,1
2936,2368,151.66897673883062,1
2945,148,19.8042652537379,1
2953,1207,27.346712131566242,1
2961,166,36.22824225773354,1
2962,884,4.62962880490802,1
2947,676,83.80718657017374,1
2947,2626,83.80718657017374,1
2947,2624,83.80718657017374,1
2947,2598,83.80718657017374,1
2947,898,83.80718657017374,1
2948,2656,21.364805891661085,1
2949,1,45.99483651849404,1
2963,1282,29.052365464319088,1
2964,2564,21.71741263584709,1
2956,648,18.297685637914988,1
2966,1270,6.063051533357195,1
2959,1311,18.31606092204375,1
2969,2584,119.43429212073062,1
2970,772,28.36167695861397,1
2973,2361,15.214664328964824,1
2977,2184,3.504049818880358,1
2978,2983,1.104001079944983,15
2978,2984,1.104001079944983,29
2979,2154,2.4166321680345164,1
2980,2985,0.6060379721237962,95
2980,2986,0.6060379721237962,910
2981,2987,1.5509084329736869,31
2981,2988,1.5509084329736869,24
2982,2989,0.29503061771630634,22
2982,2990,0.29503061771630634,1287
2944,215,33.02320996519242,1
2936,212,156.61111166495246,1
2936,178,156.61111166495246,1
2945,2914,23.107115956532,1
2953,2549,31.976812481446174,1
2961,664,39.531295106776334,1
2962,2991,5.614833780691847,26
2962,2992,5.614833780691847,16
2948,2880,24.87137941366807,1
2949,1153,55.21415764143605,1
2963,789,38.497962970784236,1
2964,1487,27.00163121472125,1
2956,1598,18.297685637914988,1
2956,2740,18.297685637914988,1
2956,126,18.297685637914988,1
2956,1934,18.297685637914988,1
2956,969,18.297685637914988,1
2966,1906,9.526408974646907,1
2959,714,20.057148487526323,1
2969,613,163.11233011654804,1
2970,2589,42.14705342281512,1
2973,2620,16.949069704269533,1
2977,1512,3.548787698349899,1
2983,1503,1.1399313000055404,1
2984,307,3.052187913077554,1
2979,2993,2.5507234062628097,29
2979,2994,2.5507234062628097,58
2985,2995,0.9851618645152491,36
2985,2996,0.9851618645152491,59
2986,2997,0.9378223601545755,127
2986,2998,0.9378223601545755,783
2987,1264,1.5509084329736869,1
2988,2999,2.8168168907523286,11
2988,3000,2.8168168907523286,13
2989,466,16.7479807628938,1
2990,3001,0.3150809546565841,28
2990,3002,0.3150809546565841,1259
2944,1417,35.46018120898327,1
2936,1416,157.70686305540454,1
2945,1670,23.123756277882343,1
2953,1829,41.29311005907182,1
2961,1973,40.42871089569283,1
2961,1824,40.42871089569283,1
2961,1366,40.42871089569283,1
2961,1961,40.42871089569283,1
2961,859,40.42871089569283,1
2991,2070,5.614833780691847,1
2992,645,6.2536170810499705,1
2948,662,24.94177610872779,1
2949,235,60.12206914579096,1
2963,1234,44.25452105278057,1
2964,150,30.130757737217692,1
2966,142,11.25178952033238,1
2959,2787,23.31952255026554,1
2969,2531,173.61319741355135,1
2970,1884,51.953954727920454,1
2973,1600,18.395716991254336,1
2977,2844,3.635685003511383,1
2983,1501,1.145616748951068,1
2984,663,5.094458300152648,1
2993,3003,3.1586723248249946,20
2993,3004,3.1586723248249946,9
2994,1167,2.606538915773126,1
2995,799,1.6839759300511634,1
2996,3005,1.0067983019412816,33
2996,3006,1.0067983019412816,26
2997,114,1.373811017002449,1
2998,3007,1.0063723092185892,40
2998,3008,1.0063723092185892,743
2987,671,2.0208015127310817,1
2999,223,13.965534236936827,1
3000,2594,11.368391472361916,1
2989,1729,19.292617663655093,1
3001,2363,3.1398547662504868,1
3002,3009,0.3485103650709122,322
3002,3010,0.3485103650709122,937
2944,2856,38.01303158908748,1
2936,2696,178.20861562995177,1
2936,1527,178.20861562995177,1
2936,1544,178.20861562995177,1
2936,2654,178.20861562995177,1
2936,738,178.20861562995177,1
2945,2290,26.760148951770525,1
2953,1601,45.99243733759228,1
2991,599,15.657334931150276,1
2992,1983,7.987445999511923,1
2948,945,31.662052962482157,1
2949,562,66.49132288494259,1
2963,334,54.88880324105352,1
2964,2631,31.276851309134987,1
2966,3011,12.251072970011991,19
2966,3012,12.251072970011991,5
2959,2614,23.60642670395392,1
2969,2053,185.23729939366794,1
2970,559,56.85861602235321,1
2973,2679,19.009152889669174,1
2977,1500,3.7574630003512617,1
2983,280,1.182809003410121,1
2984,305,5.842830452730206,1
3003,822,6.393909413055146,1
3004,507,11.039316275681916,1
2994,520,2.643000192936781,1
2995,953,1.9686181921121735,1
3005,3013,1.6005255242408163,10
3005,3014,1.6005255242408163,23
3006,3015,1.290171729058671,11
3006,3016,1.290171729058671,15
2997,3017,1.6939349413420481,37
2997,3018,1.6939349413420481,89
3007,2468,2.9994784340799954,1
3008,3019,1.0296882721266545,44
3008,3020,1.0296882721266545,699
2987,1274,3.35630344792534,1
2999,1916,45.73797905876867,1
3000,2848,13.113603007187898,1
2989,2179,19.497717832670332,1
3001,2480,6.140244601783724,1
3009,3021,0.7229804707795879,67
3009,3022,0.7229804707795879,255
3010,3023,1.1514584149537985,20
3010,3024,1.1514584149537985,917
2944,1513,38.01303158908748,1
2945,2185,33.01461740332556,1
2953,1489,47.473900168745345,1
2991,2143,16.4244266647823,1
2992,2818,9.355951258366272,1
2948,2843,32.44446581504642,1
2949,2611,74.87379815544247,1
2963,684,62.78607622943062,1
2964,1271,32.18089489818123,1
3011,1488,12.251072970011991,1
3012,895,12.251072970011991,1
3012,2535,12.251072970011991,1
3012,276,12.251072970011991,1
3012,1965,12.251072970011991,1
3012,2560,12.251072970011991,1
2959,1904,24.35355679728893,1
2969,156,190.09603711709738,1
2970,974,59.898987930605166,1
2973,331,22.66911818385597,1
2977,1558,21.958431554477478,1
2983,2876,1.1842185211739304,1
2984,2648,5.868102155044553,1
3003,506,7.093906801707066,1
3004,2098,12.848010052391928,1
