attribution_Order,attribution_PID,attribution_MS SubClass,attribution_MS Zoning,attribution_Lot Frontage,attribution_Lot Frontage_missing,attribution_Lot Area,attribution_Street,attribution_Alley,attribution_Alley_missing,attribution_Lot Shape,attribution_Land Contour,attribution_Utilities,attribution_Lot Config,attribution_Land Slope,attribution_Neighborhood,attribution_Condition 1,attribution_Condition 2,attribution_Bldg Type,attribution_House Style,attribution_Overall Qual,attribution_Overall Cond,attribution_Year Built,attribution_Year Remod/Add,attribution_Roof Style,attribution_Roof Matl,attribution_Exterior 1st,attribution_Exterior 2nd,attribution_Mas Vnr Type,attribution_Mas Vnr Type_missing,attribution_Mas Vnr Area,attribution_Mas Vnr Area_missing,attribution_Exter Qual,attribution_Exter Cond,attribution_Foundation,attribution_Bsmt Qual,attribution_Bsmt Qual_missing,attribution_Bsmt Cond,attribution_Bsmt Cond_missing,attribution_Bsmt Exposure,attribution_Bsmt Exposure_missing,attribution_BsmtFin Type 1,attribution_BsmtFin Type 1_missing,attribution_BsmtFin SF 1,attribution_BsmtFin SF 1_missing,attribution_BsmtFin Type 2,attribution_BsmtFin Type 2_missing,attribution_BsmtFin SF 2,attribution_BsmtFin SF 2_missing,attribution_Bsmt Unf SF,attribution_Bsmt Unf SF_missing,attribution_Total Bsmt SF,attribution_Total Bsmt SF_missing,attribution_Heating,attribution_Heating QC,attribution_Central Air,attribution_Electrical,attribution_Electrical_missing,attribution_1st Flr SF,attribution_2nd Flr SF,attribution_Low Qual Fin SF,attribution_Gr Liv Area,attribution_Bsmt Full Bath,attribution_Bsmt Full Bath_missing,attribution_Bsmt Half Bath,attribution_Bsmt Half Bath_missing,attribution_Full Bath,attribution_Half Bath,attribution_Bedroom AbvGr,attribution_Kitchen AbvGr,attribution_Kitchen Qual,attribution_TotRms AbvGrd,attribution_Functional,attribution_Fireplaces,attribution_Fireplace Qu,attribution_Fireplace Qu_missing,attribution_Garage Type,attribution_Garage Type_missing,attribution_Garage Yr Blt,attribution_Garage Yr Blt_missing,attribution_Garage Finish,attribution_Garage Finish_missing,attribution_Garage Cars,attribution_Garage Cars_missing,attribution_Garage Area,attribution_Garage Area_missing,attribution_Garage Qual,attribution_Garage Qual_missing,attribution_Garage Cond,attribution_Garage Cond_missing,attribution_Paved Drive,attribution_Wood Deck SF,attribution_Open Porch SF,attribution_Enclosed Porch,attribution_3Ssn Porch,attribution_Screen Porch,attribution_Pool Area,attribution_Pool QC,attribution_Pool QC_missing,attribution_Fence,attribution_Fence_missing,attribution_Misc Feature,attribution_Misc Feature_missing,attribution_Misc Val,attribution_Mo Sold,attribution_Yr Sold,attribution_Sale Type,attribution_Sale Condition
0.0,71.72553335511829,0.0,0.0,51.95090179510922,0.0,546.9390841042449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11435.58000080678,0.0,-2967.319749292477,-20.069116920018253,0.0,0.0,0.0,0.0,0.0,0.0,-42.04882496035239,0.0,0.0,0.0,0.0,-952.6216379691058,0.0,0.0,0.0,0.0,0.0,132.37591942540035,0.0,-596.7588171132945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1517.6651908154965,0.0,0.0,0.0,0.0,0.0,0.0,919.3711827575744,-239.17429967254765,0.0,210.93567790692117,0.0,0.0,0.0,0.0,-323.2786635114584,0.0,0.0,0.0,-501.8200663545255,0.0,0.0,519.4378068202617,0.0,198.26721331650162,769.855235707653,0.0,19.130236344122512,0.0,559.789434897842,0.0,-787.1470074657456,0.0,-204.5752149932236,0.0,0.0,0.0,0.0,0.0,0.0,-5.954007652518266,3.19551313785631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.72553335511829,0.0,0.0,-14.409592751802975,0.0,-98.17209175045716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14994.375152755998,0.0,-3072.154006404128,-20.069116920018253,0.0,0.0,0.0,0.0,0.0,0.0,-42.04882496035239,0.0,0.0,0.0,0.0,-921.2608945520109,0.0,0.0,0.0,0.0,0.0,-26.165771895352698,0.0,-460.09072463319137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1571.9082685852752,0.0,0.0,0.0,0.0,0.0,0.0,-694.1118988743848,-239.17429967254765,0.0,-7231.576169369637,0.0,0.0,0.0,0.0,-323.2786635114584,0.0,0.0,0.0,-411.73346936077206,0.0,0.0,-422.47855434715154,0.0,-70.0914305253668,678.5074694693797,0.0,58.049999663436154,0.0,-472.48235125516214,0.0,-2171.6815972890063,0.0,986.885094103851,0.0,0.0,0.0,0.0,0.0,0.0,-5.954007652518266,2.7864439768048426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.72553335511829,0.0,0.0,-14.409592751802975,0.0,370.5149433059807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11111.53747226851,0.0,-3086.8836989804113,-20.069116920018253,0.0,0.0,0.0,0.0,0.0,0.0,-42.04882496035239,0.0,0.0,0.0,0.0,-1001.9683867117931,0.0,0.0,0.0,0.0,0.0,132.37591942540035,0.0,-272.2746248779049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.7423359602778,0.0,0.0,0.0,0.0,0.0,0.0,65.6202452124935,-127.16870306481242,0.0,-6622.345125796634,0.0,0.0,0.0,0.0,-323.2786635114584,0.0,0.0,0.0,133.33570119435527,0.0,0.0,-422.47855434715154,0.0,-70.0914305253668,678.5074694693797,0.0,19.130236344122512,0.0,-472.48235125516214,0.0,-2171.6815972890063,0.0,-204.5752149932236,0.0,0.0,0.0,0.0,0.0,0.0,20.381365058690832,6.817443716933338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,271.90041526480155,0.0,0.0,-38.21609230791729,0.0,-171.41297422735244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9845.730845345499,0.0,-2927.079004281344,-171.72546481352225,0.0,0.0,0.0,0.0,0.0,0.0,-244.07458418381202,0.0,0.0,0.0,0.0,-1328.2266401204809,0.0,0.0,0.0,0.0,0.0,42.15277287275453,0.0,1249.91380157929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6780.021755403823,0.0,0.0,0.0,0.0,0.0,0.0,4172.49282056479,-190.5501375176034,0.0,18713.336910443264,0.0,0.0,0.0,0.0,299.24847271810023,0.0,0.0,0.0,3959.7359761878247,0.0,0.0,519.4378068202617,0.0,198.26721331650162,688.5743325756462,0.0,10.537842053965791,0.0,359.9215798027629,0.0,-1047.8319163831136,0.0,-335.6396228630602,0.0,0.0,0.0,0.0,0.0,0.0,-48.71783213853307,8.530613060584974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,84.14574207698449,0.0,0.0,-14.409592751802975,0.0,130.31909107625276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14519.558723697588,0.0,4623.872847483207,-31.841779100014335,0.0,0.0,0.0,0.0,0.0,0.0,-42.04882496035239,0.0,0.0,0.0,0.0,-961.2831093663078,0.0,0.0,0.0,0.0,0.0,132.37591942540035,0.0,-176.57175587493433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1485.5313060359642,0.0,0.0,0.0,0.0,0.0,0.0,-613.0096006009769,-239.17429967254765,0.0,-446.3688038993692,0.0,0.0,0.0,0.0,396.92634918530933,0.0,0.0,0.0,-468.4557643731377,0.0,0.0,409.91200067859285,0.0,69.61814746462737,837.8363033077943,0.0,19.130236344122512,0.0,559.789434897842,0.0,-787.1470074657456,0.0,-174.08108678862538,0.0,0.0,0.0,0.0,0.0,0.0,-5.954007652518266,2.7864439768048426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,84.14574207698449,0.0,0.0,-14.409592751802975,0.0,-135.29544624000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10938.359088441915,0.0,4712.497873803671,-31.841779100014335,0.0,0.0,0.0,0.0,0.0,0.0,-42.04882496035239,0.0,0.0,0.0,0.0,-825.2681654811635,0.0,0.0,0.0,0.0,0.0,132.37591942540035,0.0,-694.0086195300125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1613.6373959364719,0.0,0.0,0.0,0.0,0.0,0.0,-613.0096006009769,-239.17429967254765,0.0,-778.4821262783694,0.0,0.0,0.0,0.0,396.92634918530933,0.0,0.0,0.0,66.0419996302782,0.0,0.0,409.91200067859285,0.0,69.61814746462737,837.8363033077943,0.0,19.130236344122512,0.0,559.789434897842,0.0,-787.1470074657456,0.0,-174.08108678862538,0.0,0.0,0.0,0.0,0.0,0.0,20.381365058690832,2.7864439768048426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,84.14574207698449,0.0,0.0,-14.409592751802975,0.0,-242.15806866637956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37577.08796816781,0.0,4647.692614450086,-46.446554945640834,0.0,0.0,0.0,0.0,0.0,0.0,-163.62670976052533,0.0,0.0,0.0,0.0,-1398.4302788110415,0.0,0.0,0.0,0.0,0.0,42.15277287275453,0.0,-700.0807987512742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.4356831897082,0.0,0.0,0.0,0.0,0.0,0.0,-723.462158459468,-298.49383754818354,0.0,-7165.805138158521,0.0,0.0,0.0,0.0,76.81092256095889,0.0,0.0,0.0,133.33570119435527,0.0,0.0,-345.08031800703895,0.0,-31.564823656612116,396.17803737940676,0.0,10.537842053965791,0.0,559.789434897842,0.0,-990.8817219708568,0.0,-292.9223691819803,0.0,0.0,0.0,0.0,0.0,0.0,6.7217442855859915,6.817443716933338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,84.14574207698449,0.0,0.0,-14.409592751802975,0.0,-242.15806866637956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38067.77232593099,0.0,4647.692614450086,-46.446554945640834,0.0,0.0,0.0,0.0,0.0,0.0,-163.62670976052533,0.0,0.0,0.0,0.0,-1398.4302788110415,0.0,0.0,0.0,0.0,0.0,19.320020900012494,0.0,-700.0807987512742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51411806644391,0.0,0.0,0.0,0.0,0.0,0.0,-1239.551685705626,-298.49383754818354,0.0,-7518.481619532161,0.0,0.0,0.0,0.0,76.81092256095889,0.0,0.0,0.0,133.33570119435527,0.0,0.0,-345.08031800703895,0.0,-31.564823656612116,396.17803737940676,0.0,19.670638500736136,0.0,559.789434897842,0.0,-990.8817219708568,0.0,-292.9223691819803,0.0,0.0,0.0,0.0,0.0,0.0,6.7217442855859915,6.817443716933338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,230.48326953565277,0.0,0.0,-14.409592751802975,0.0,-242.15806866637956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37316.7861053144,0.0,4877.180776164273,-46.446554945640834,0.0,0.0,0.0,0.0,0.0,0.0,-227.58008343883756,0.0,0.0,0.0,0.0,-1380.8393787073048,0.0,0.0,0.0,0.0,0.0,42.15277287275453,0.0,3025.123549765752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4798.391007698094,0.0,0.0,0.0,0.0,0.0,0.0,-67.18315224578753,-356.22026016162056,0.0,-2302.9127168632813,0.0,0.0,0.0,0.0,76.81092256095889,0.0,0.0,0.0,76.61340618198965,0.0,0.0,409.91200067859285,0.0,69.61814746462737,354.8779287413286,0.0,10.537842053965791,0.0,740.9043090802854,0.0,-990.8817219708568,0.0,-357.84902136587044,0.0,0.0,0.0,0.0,0.0,0.0,-25.411348891950254,6.817443716933338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,259.52178362630127,0.0,0.0,-14.409592751802975,0.0,-135.29544624000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.24440134848,0.0,4760.987549322159,-46.446554945640834,0.0,0.0,0.0,0.0,0.0,0.0,-50.280333069845945,0.0,0.0,0.0,0.0,-1240.3832003116026,0.0,0.0,0.0,0.0,0.0,-31.44730674634068,0.0,-817.3912129407747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1688.9190629861869,0.0,0.0,0.0,0.0,0.0,0.0,-904.6456353791043,545.6124504821034,0.0,3380.8652637087425,0.0,0.0,0.0,0.0,299.24847271810023,0.0,0.0,0.0,-115.17286468413879,0.0,0.0,409.91200067859285,0.0,69.61814746462737,724.9930633358365,0.0,10.537842053965791,0.0,559.789434897842,0.0,-990.8817219708568,0.0,-302.30831684896043,0.0,0.0,0.0,0.0,0.0,0.0,-8.714890608899879,3.19551313785631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
